citing_paper_eid,citing_paper_doi,citing_paper_title,cited_data_paper_title,mention_count,mentioned_sections,prediction_rule1,prediction_rule2
2-s2.0-85211640167,10.1016/j.marpolbul.2024.117442,Multi-indicator assessment of heavy metal pollution in Qinzhou Harbour sediments: Unraveling ecological and human health risks,"Pollution load index for heavy metals in Mian-Ab plain soil, Khuzestan, Iran",1,['Pollution Load Index (PLI)'],0,0
2-s2.0-85210281314,10.1016/j.jaridenv.2024.105282,Potential effects of climate change on cacti distribution and conservation in North American drylands,"The World Checklist of Vascular Plants, a continuously updated resource for exploring global plant diversity",2,['– Data preparation'],1,1
2-s2.0-85171680307,10.1016/j.revpalbo.2023.104989,Approaches to pollen taxonomic harmonisation in Quaternary palynology,"European pollen-based REVEALS land-cover reconstructions for the Holocene: Methodology, mapping and potentials",1,['Pollen taxonomic harmonisation – Top-down and bottom-up approaches'],0,0
2-s2.0-85142708771,10.1016/j.foreco.2022.120653,Allometric equations to estimate the dry mass of Sahel woody plants mapped with very-high resolution satellite imagery,A global map of root biomass across the world's forests,0,[],0,0
2-s2.0-85194770743,10.1016/j.jnucmat.2024.155194,Microstructural evolution in doped high entropy alloys NiCoFeCr-3X (X=Pd/Al/Cu) under irradiation,Database on the mechanical properties of high entropy alloys and complex concentrated alloys,1,['Introduction'],0,0
2-s2.0-85111732332,10.1016/j.susoc.2021.04.003,Applications of Artificial Intelligence (AI) for cardiology during COVID-19 pandemic,Clinical trial design data for electrocardiogram artificial intelligence-guided screening for low ejection fraction (EAGLE),0,[],0,0
2-s2.0-85179884664,10.1016/j.marpolbul.2023.115893,Uncovering the relationship between floating marine litter and human activities in watersheds,A global record of annual terrestrial Human Footprint dataset from 2000 to 2018,1,['Introduction'],0,0
2-s2.0-85123081180,10.1016/j.jenvman.2022.114510,Spatiotemporal carbon emissions across the spectrum of Chinese cities: Insights from socioeconomic characteristics and ecological capacity,County-level CO2 emissions and sequestration in China during 1997–2017,0,[],0,0
2-s2.0-85202940306,10.1016/j.scitotenv.2024.175887,Responses of plant volatile emissions to increasing nitrogen deposition: A pilot study on Eucalyptus urophylla,Global nitrogen deposition inputs to cropland at national scale from 1961 to 2020,1,['Introduction'],0,0
2-s2.0-85176563605,10.1016/j.resconrec.2023.107296,Government resource allocation practices toward carbon neutrality in China: A hybrid system approach,Global Carbon Budget 2022,1,['Case background'],0,0
